354fa599-51dc-423b-aec7-ddbf4ebc69dd,gueh,777649734,Long Hair,Bulldog,31,bxly,ktau,zsfm,ozwf,pzdy
be93f362-c219-45d4-9d63-a959c929fd1d,pfvb,646618312,Long Hair,Poodle,11,pbxu,vroj,xmaa,sgjr,ytbw
1d8910e5-5932-4513-9e56-c17376ad6d90,urut,990056096,Long Hair,Lab,2,dcoe,exlx,gefq,yauh,ktgi
c9e17b9f-3b8c-4479-914b-059a3e0b174a,hwyg,882722942,Short Hair,Lab,32,mvpk,inxr,ygrg,qtrw,wtby
a314b828-505e-408a-8b37-374efa1aff4e,pzdt,357815922,Long Hair,Poodle,28,ydkw,gkcl,tgyf,nrpy,ztvb
b50dbb94-9208-446c-9ded-8cde3cacdd2a,muxx,223318063,Short Hair,Lab,31,wnqv,xidb,zzva,hojm,elwi
38e93d09-7675-43fa-a543-755bc77339d4,ykgd,582084847,Short Hair,Retriever,58,ekrt,rcja,qunu,rfjk,qjlu
bf1e71e5-ef4c-4c68-a2b1-cdf1e58cdfb3,anhh,655639802,Short Hair,Retriever,3,jjle,sxgx,pqcp,hkpe,nhnd
6c82fabe-4e6b-47f2-99bb-d63a2e341712,rkaq,651032525,Short Hair,Beagle,23,mbad,mpev,jrca,llfg,zjsj
0c1ed3dc-b057-421d-91d8-7f5de4fdf635,wjgx,664097508,Long Hair,Lab,8,bazh,dbkr,ljdn,yxxc,vuco
284c8256-35cd-44f3-8b42-a2dbc3091e52,engg,193962797,Short Hair,Husky,14,bowf,tcum,ttov,zyhs,jcbs
f60d6411-9de4-4d63-894e-44e11ab80d4c,vwjq,415875007,Long Hair,Bulldog,17,mknl,vxcx,yhhc,gsuz,risf
b02a4448-1dce-4afb-bdb4-041df68c342a,iedl,376623383,Short Hair,German Shepherd,14,dekd,umqw,tgal,wmxb,oszv
3c3b3ccc-c89b-4833-b0af-1b087647692e,drxh,425330558,Short Hair,Retriever,51,dqut,nfkr,inlz,hpbo,yqgj
c2e9e29e-f2d5-4bfe-b8c8-73dd906d5b4b,pfku,216511516,Long Hair,Retriever,55,dzss,semy,xwaa,sfmo,fxst
811039f2-5a94-4959-8c8e-0c3463ca41b7,jckj,863018243,Long Hair,German Shepherd,16,sevp,gslw,blar,ckbr,wzgl
ce9897e1-eb6d-4c89-adec-f4fb2eab1857,xmps,939792223,Long Hair,Lab,18,ofxa,pmvx,glvn,yfqx,cxcd
60eb8a40-c364-4868-b37f-50d0a81cdef7,vydt,131536319,Short Hair,Retriever,65,avbb,fnwl,tntk,dtpa,hxqw
8f0398cb-cf53-4d87-b7a2-c9a414441f0f,vfiz,412762130,Long Hair,Beagle,33,bnlv,ckwf,vzja,rohi,roou
ad1cdc06-547f-407c-b671-ffb855e763b7,sqxn,952153984,Short Hair,German Shepherd,49,fral,lcyq,bqqn,kceh,xkhz
